id,customer_id,order_date,sku_id,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,payment_id,payment_method,sku_name,base_price,cogs,category,registered_date
ODR9939707760w,C713589L,2021-11-19,P858068,26100,200,5220000,2610000,2610000,1,1,0,5,jazzwallet,RB_Dettol Germ Busting Kit-bf,26100,18270,Others,2021-07-07
ODR7448356649d,C551551L,2021-11-19,P886455,1971942,5,9859710,2464927,7394782,1,0,0,5,jazzwallet,PS4_Slim-500GB,1971942,1321182,Entertainment,2021-11-20
ODR4011281866z,C685596L,2021-11-25,P678648,7482000,1,7482000,2065344,5416655,1,0,0,4,Payaxis,Changhong Ruba 55 Inches UD55D6000i Ultra HD TV_clear-CS,7482000,5162580,Entertainment,2021-11-19
ODR3378927994s,C830683L,2021-11-22,P540013,3593680,1,3593680,1455440,2138239,1,1,1,5,jazzwallet,dawlance_Inverter 30,3593680,3054628,Appliances,2021-11-03
ODR4904430099k,C191766L,2021-11-21,P491032,4413220,1,4413220,1059172,3354047,1,1,1,4,Payaxis,Dawlance_Inverter-45 2.0 ton,4413220,3177472,Appliances,2021-07-05
ODR7618778722h,C299859L,2021-11-20,P886455,1971942,2,3943884,985971,2957913,1,0,0,5,jazzwallet,PS4_Slim-500GB,1971942,1321182,Entertainment,2021-11-20
ODR7610732813d,C313534L,2022-12-01,P849301,2697000,1,2697000,809100,1887900,1,1,1,1,cod,mitsubhisi_1.0 Ton - SRK-13CMK-CS,2697000,2373360,Appliances,2022-01-19
ODR4415476736l,C215074L,2022-12-01,P918122,2533672,1,2533672,760101,1773570,1,1,0,3,customercredit,lenovo_80HR00AKUE,2456010,2063002,Computing,2021-09-13
ODR6474755771h,C368335L,2021-11-22,P240605,2479790,1,2479790,743937,1735853,1,0,0,5,jazzwallet,lenovo_80J2021CUE,2479790,2083012,Computing,2021-11-06
ODR9699658949w,C246762L,2022-05-21,P168052,6487648,1,6487648,638000,5849648,1,0,0,7,Easypay,iPhone7Plus-Red-256GB,6487648,5125228,Mobiles & Tablets,2022-05-08
ODR6859592351r,C822265L,2021-01-10,P910456,4092886,5,20464430,613932,19850497,1,0,0,4,Payaxis,Apple iPhone 6 (64GB) Silver,4893750,3621346,Mobiles & Tablets,2021-09-01
ODR2741972772y,C483469L,2021-11-21,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,jazzvoucher,Honda_BikeCD70-Black,3683000,3130550,Superstore,2021-07-26
ODR5064165483d,C329053L,2021-11-23,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,jazzvoucher,Honda_BikeCD70-Black,3683000,3130550,Superstore,2021-09-20
ODR8655835343e,C545190L,2021-11-24,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,jazzvoucher,Honda_BikeCD70-Black,3683000,3130550,Superstore,2021-07-26
ODR6859592351r,C822265L,2021-01-10,P240605,2741370,4,10965480,548274,10417206,1,0,0,4,Payaxis,lenovo_80J2021CUE,2479790,2083012,Computing,2021-09-01
ODR6180629046t,C492850L,2021-09-29,P751549,4408000,2,8816000,440800,8375200,1,1,1,4,Payaxis,samsungGALAXY S-7 EDGE 32GB LTE,4408000,3879040,Mobiles & Tablets,2021-07-09
ODR8451284001a,C805381L,2022-05-22,P726605,3278450,1,3278450,406000,2872450,1,1,1,4,Payaxis,Ifitness_JW901,3335000,2901450,Health & Sports,2022-04-13
ODR2537552109g,C890940L,2021-11-22,P713012,2610000,1,2610000,391500,2218500,1,0,0,4,Payaxis,sony_SLT-A58K,2610000,2140200,Entertainment,2021-09-28
ODR1965502162e,C848774L,2022-05-20,P168052,6487648,1,6487648,364812,6122835,1,0,0,2,jazzvoucher,iPhone7Plus-Red-256GB,6487648,5125228,Mobiles & Tablets,2021-11-07
ODR8450052777q,C693415L,2022-04-15,P132718,5626000,1,5626000,348000,5278000,1,0,0,7,Easypay,Samsung_Galaxy_S8_Plus_Gray,5626000,4219500,Mobiles & Tablets,2022-04-12
ODR2268957100j,C813380L,2022-04-16,P619324,5626000,1,5626000,348000,5278000,1,1,1,7,Easypay,Samsung_Galaxy_S8_Plus_Black,5626000,4782100,Mobiles & Tablets,2022-04-05
ODR7673587024b,C180595L,2022-04-17,P619324,5626000,1,5626000,348000,5278000,1,0,0,7,Easypay,Samsung_Galaxy_S8_Plus_Black,5626000,4782100,Mobiles & Tablets,2022-04-22
ODR7333927150n,C587425L,2022-12-04,P619324,5626000,1,5626000,348000,5278000,1,0,0,7,Easypay,Samsung_Galaxy_S8_Plus_Black,5626000,4782100,Mobiles & Tablets,2022-03-22
ODR5577016106c,C612225L,2022-04-18,P624937,5046000,1,5046000,348000,4698000,1,0,0,6,easypay_voucher,Samsung_Galaxy_S8_black,5046000,3734040,Mobiles & Tablets,2022-04-24
ODR2742098359u,C909222L,2021-11-23,P611114,2783942,1,2783942,278394,2505547,1,0,0,4,Payaxis,Samsung_Samsung 40 Inch J5000 Full HD LED TV,2783942,2338502,Entertainment,2021-11-11
ODR8871522735u,C648252L,2021-11-24,P611114,2783942,1,2783942,278394,2505547,1,0,0,2,jazzvoucher,Samsung_Samsung 40 Inch J5000 Full HD LED TV,2783942,2338502,Entertainment,2021-09-08
ODR2463904091r,C869172L,2022-04-15,P873818,841000,2,1682000,254887,1427112,1,1,0,1,cod,SNU_Tena-Durrani-TD16W-Kelly,841000,529830,Women Fashion,2022-01-20
ODR6490492565x,C608898L,2021-11-24,P725301,2505600,1,2505600,250560,2255040,1,0,0,5,jazzwallet,FHM_LUCID COMFORT1,2505600,1578528,Home & Living,2021-11-07
