GCIF,Area,Jalur_Pembukaan,Vintage,Usia,Jenis_Kelamin,Status_Perkawinan,Jumlah_Anak,Pendidikan,Produk_Tabungan,Produk_Deposito,Produk_Kartu_Kredit,Produk_Kredit_Rumah,Produk_Kredit_Kendaraan,Produk_Kredit_Dana_Tunai,Total_Kepemilikan_Produk,Pendapatan_Tahunan,Total_Relationship_Balance
G28036,Bogor,Internet Banking,< 1 Tahun,69,Laki-laki,Menikah,3,Doktor,1,0,0,0,0,0,1,747,44607
G18528,Jakarta,Telemarketing,< 1 Tahun,23,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,198,10668586
G22419,Surabaya,Telemarketing,< 1 Tahun,30,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,280,299076075
G04482,Bandung,Cabang,< 1 Tahun,45,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,431,417250579
G07807,Bandung,Aplikasi Digital,< 1 Tahun,34,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,184,453573593
G05792,Solo,Internet Banking,< 1 Tahun,52,Perempuan,Cerai,1,Doktor,1,0,0,0,0,0,1,344,398733833
G23016,Bandung,Cabang,< 1 Tahun,37,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,363,248732992
G13193,Solo,Telemarketing,< 1 Tahun,29,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,295,76653088
G09296,Jakarta,Telemarketing,< 1 Tahun,49,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,443,247157199
G09228,Jakarta,Telemarketing,< 1 Tahun,21,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,257,27585562
G05140,Surabaya,Aplikasi Digital,< 1 Tahun,31,Laki-laki,Menikah,0,Doktor,1,0,0,0,0,0,1,211,458973062
G11043,Surabaya,Aplikasi Digital,< 1 Tahun,55,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,383,484751355
G08712,Bandung,Cabang,< 1 Tahun,40,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,461,437629443
G22916,Solo,Internet Banking,< 1 Tahun,53,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,888,226903815
G04475,Solo,Internet Banking,< 1 Tahun,29,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,395,494471022
G15147,Bandung,Internet Banking,< 1 Tahun,36,Laki-laki,Menikah,3,Doktor,1,0,0,0,0,0,1,595,68467816
G12692,Jogja,Telemarketing,< 1 Tahun,47,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,388,180484091
G05112,Solo,Telemarketing,< 1 Tahun,25,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,322,26704252
G24663,Surabaya,Cabang,< 1 Tahun,60,Laki-laki,Menikah,2,Doktor,0,0,0,1,0,0,1,446,149608806
G25125,Surabaya,Telemarketing,< 1 Tahun,70,Perempuan,Menikah,3,Doktor,0,0,0,0,0,1,1,722,431734970
G27452,Solo,Internet Banking,< 1 Tahun,60,Laki-laki,Menikah,2,Doktor,0,1,0,0,0,0,1,746,147443915
G26084,Surabaya,Cabang,< 1 Tahun,67,Laki-laki,Menikah,0,Doktor,0,0,0,0,0,1,1,804,23569883
G08482,Bandung,Aplikasi Digital,< 1 Tahun,50,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,0,1,475,448729485
G23513,Jakarta,Internet Banking,< 1 Tahun,53,Perempuan,Menikah,3,Doktor,0,0,0,1,0,0,1,505,322651071
G16897,Jogja,Internet Banking,< 1 Tahun,55,Laki-laki,Cerai,0,Doktor,1,0,0,0,0,0,1,607,458331163
G19295,Jakarta,Telemarketing,< 1 Tahun,51,Perempuan,Menikah,1,Doktor,1,0,0,0,0,0,1,628,467091296
G06550,Bogor,Telemarketing,< 1 Tahun,48,Laki-laki,Cerai,4,Doktor,1,0,0,0,0,0,1,483,336868625
G11208,Surabaya,Internet Banking,< 1 Tahun,40,Laki-laki,Cerai,1,Doktor,1,0,0,0,0,0,1,267,476780517
G18310,Surabaya,Cabang,< 1 Tahun,55,Laki-laki,Cerai,0,Doktor,1,0,0,0,0,0,1,406,481634447
G02181,Bogor,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Doktor,1,0,0,0,0,0,1,157,494420190
G07219,Surabaya,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,3,Doktor,1,0,0,0,0,0,1,242,84738965
G13813,Bandung,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Doktor,1,0,0,0,0,0,1,307,95269032
G20901,Bandung,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,2,Doktor,1,0,0,0,0,0,1,183,424443592
G14107,Jakarta,Telemarketing,< 1 Tahun,22,Perempuan,Belum Menikah,0,Doktor,1,0,0,1,0,0,2,415,265619992
G17415,Jakarta,Aplikasi Digital,< 1 Tahun,21,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,104,330675324
G13328,Jakarta,Telemarketing,< 1 Tahun,22,Perempuan,Belum Menikah,0,Doktor,1,0,1,0,0,0,2,309,106278167
G09426,Jakarta,Telemarketing,< 1 Tahun,29,Perempuan,Menikah,0,Doktor,1,1,0,0,0,0,2,370,18524362
G10858,Bandung,Cabang,< 1 Tahun,26,Perempuan,Menikah,0,Doktor,1,0,0,0,1,0,2,389,134430491
G18094,Bandung,Cabang,< 1 Tahun,27,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,413,206638623
